frame,strain,analysis_variant,mode,center_kind,target_kind,r_lower_A,r_upper_A,r_mid_A,N_total,N_center,N_target,rho_target_1_per_A3,pair_count_shell,pair_count_cumulative,CN_sum_r,P_sum_r,g_r_RDF_like
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.0,7.5,7.25,432000,45193,62628,0.008177017401267252,291711,1305662,28.890801672825436,0.9322682716349877,2.3892342452260977
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.5,8.0,7.75,432000,45193,62628,0.008177017401267252,255439,1561101,34.54298232027084,0.9426017303564711,1.8309952799224023
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.0,8.5,8.25,432000,45193,62628,0.008177017401267252,223989,1785090,39.499258734759806,0.9485097249574049,1.416902342957211
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.5,9.0,8.75,432000,45193,62628,0.008177017401267252,212238,1997328,44.19551700484588,0.9545062288407496,1.1935563212313014
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.0,9.5,9.25,432000,45193,62628,0.008177017401267252,254981,2252309,49.83756333945522,0.9598167857854093,1.2831359135108142
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.5,10.0,9.75,432000,45193,62628,0.008177017401267252,428742,2681051,59.3244750293187,0.9663222180426172,1.9419840974209885
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.0,0.5,0.25,432000,62628,45193,0.005900618691567204,0,0,0.0,0.0,0.0
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.5,1.0,0.75,432000,62628,45193,0.005900618691567204,0,0,0.0,0.0,0.0
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.0,1.5,1.25,432000,62628,45193,0.005900618691567204,0,0,0.0,0.0,0.0
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.5,2.0,1.75,432000,62628,45193,0.005900618691567204,0,0,0.0,0.0,0.0
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.0,2.5,2.25,432000,62628,45193,0.005900618691567204,463,463,0.0073928594238998535,0.0,0.03922712145574239
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.5,3.0,2.75,432000,62628,45193,0.005900618691567204,142120,142583,2.276665389282749,0.39945391837516764,8.071404091298902
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,3.0,3.5,3.25,432000,62628,45193,0.005900618691567204,74389,216972,3.4644567924889826,0.8622181771731494,3.027194207857766
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,3.5,4.0,3.75,432000,62628,45193,0.005900618691567204,41394,258366,4.125407166123779,0.8829916331353388,1.265860868760196
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,4.0,4.5,4.25,432000,62628,45193,0.005900618691567204,44951,303317,4.843153222200932,0.90041195631347,1.0705696024721727
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,4.5,5.0,4.75,432000,62628,45193,0.005900618691567204,112285,415602,6.636041387238935,0.9352206680717889,2.141350388467161
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,5.0,5.5,5.25,432000,62628,45193,0.005900618691567204,218791,634393,10.12954269655745,0.9722648016861468,3.4161485188271903
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,5.5,6.0,5.75,432000,62628,45193,0.005900618691567204,158939,793332,12.667369227821421,0.9868748802452577,2.06907033246274
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,6.0,6.5,6.25,432000,62628,45193,0.005900618691567204,88726,882058,14.084083796385004,0.99120201826659,0.9777174000801954
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,6.5,7.0,6.75,432000,62628,45193,0.005900618691567204,131893,1013951,16.190058759660214,0.9939803282876668,1.24614822866488
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,7.0,7.5,7.25,432000,62628,45193,0.005900618691567204,291711,1305662,20.847895509995528,0.9975250686593856,2.389234245226098
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,7.5,8.0,7.75,432000,62628,45193,0.005900618691567204,255439,1561101,24.926566392029123,0.9989621255668392,1.8309952799224027
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,8.0,8.5,8.25,432000,62628,45193,0.005900618691567204,223989,1785090,28.503065721402567,0.9995688829277639,1.4169023429572112
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,8.5,9.0,8.75,432000,62628,45193,0.005900618691567204,212238,1997328,31.891933320559495,0.9996966213195376,1.1935563212313016
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,9.0,9.5,9.25,432000,62628,45193,0.005900618691567204,254981,2252309,35.96329117966405,0.9998882289071981,1.2831359135108142
36,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,9.5,10.0,9.75,432000,62628,45193,0.005900618691567204,428742,2681051,42.809142875391196,0.9999361308041131,1.9419840974209888
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,0.0,0.5,0.25,432000,46597,61325,0.008006597179489748,0,0,0.0,0.0,0.0
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,0.5,1.0,0.75,432000,46597,61325,0.008006597179489748,0,0,0.0,0.0,0.0
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,1.0,1.5,1.25,432000,46597,61325,0.008006597179489748,0,0,0.0,0.0,0.0
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,1.5,2.0,1.75,432000,46597,61325,0.008006597179489748,0,0,0.0,0.0,0.0
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.0,2.5,2.25,432000,46597,61325,0.008006597179489748,477,477,0.010236710517844496,0.0,0.04002985210596764
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.5,3.0,2.75,432000,46597,61325,0.008006597179489748,146448,146925,3.153099984977574,0.49052514110350454,8.238297939366914
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.0,3.5,3.25,432000,46597,61325,0.008006597179489748,78526,225451,4.838315771401592,0.7995793720625791,3.165229438499581
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.5,4.0,3.75,432000,46597,61325,0.008006597179489748,43214,268665,5.765714530978389,0.8076056398480589,1.3089805833221
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.0,4.5,4.25,432000,46597,61325,0.008006597179489748,46325,314990,6.759877245316222,0.8232504238470287,1.092826293629984
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.5,5.0,4.75,432000,46597,61325,0.008006597179489748,115005,429995,9.227954589351246,0.8495396699358327,2.17241540090089
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.0,5.5,5.25,432000,46597,61325,0.008006597179489748,228340,658335,14.128270060304311,0.8820739532587935,3.5314205870177764
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.5,6.0,5.75,432000,46597,61325,0.008006597179489748,163037,821372,17.627143378329077,0.9043500654548576,2.1022826696335692
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.0,6.5,6.25,432000,46597,61325,0.008006597179489748,91095,912467,19.58209755992875,0.9128913878575874,0.9942993122133289
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.5,7.0,6.75,432000,46597,61325,0.008006597179489748,134681,1047148,22.472433847672598,0.9189647402193274,1.2604175671396622
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.0,7.5,7.25,432000,46597,61325,0.008006597179489748,298736,1345884,28.88349035345623,0.9344592999549327,2.423559262766928
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.5,8.0,7.75,432000,46597,61325,0.008006597179489748,261641,1607525,34.49846556645278,0.9439663497650064,1.8576589195250781
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.0,8.5,8.25,432000,46597,61325,0.008006597179489748,227309,1834834,39.376655149473144,0.949932399081486,1.424262423484393
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.5,9.0,8.75,432000,46597,61325,0.008006597179489748,215761,2050595,44.00701761916003,0.9546751936819967,1.2018572190955366
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.0,9.5,9.25,432000,46597,61325,0.008006597179489748,255558,2306153,49.49144794729274,0.9592033821919866,1.2738388165532908
37,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.5,10.0,9.75,432000,46597,61325,0.008006597179489748,434314,2740467,58.81209090713995,0.9663497650063309,1.9485592954075466
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.0,0.5,0.25,432000,61325,46597,0.0060837082555676115,0,0,0.0,0.0,0.0
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.5,1.0,0.75,432000,61325,46597,0.0060837082555676115,0,0,0.0,0.0,0.0
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.0,1.5,1.25,432000,61325,46597,0.0060837082555676115,0,0,0.0,0.0,0.0
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.5,2.0,1.75,432000,61325,46597,0.0060837082555676115,0,0,0.0,0.0,0.0
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.0,2.5,2.25,432000,61325,46597,0.0060837082555676115,477,477,0.007778230737871993,0.0,0.04002985210596765
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.5,3.0,2.75,432000,61325,46597,0.0060837082555676115,146448,146925,2.3958418263351,0.41857317570322056,8.238297939366916
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,3.0,3.5,3.25,432000,61325,46597,0.0060837082555676115,78526,225451,3.6763310232368527,0.8770322054626988,3.1652294384995816
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,3.5,4.0,3.75,432000,61325,46597,0.0060837082555676115,43214,268665,4.381002853648593,0.8963880962087241,1.3089805833221
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,4.0,4.5,4.25,432000,61325,46597,0.0060837082555676115,46325,314990,5.136404402772116,0.9122380758255197,1.0928262936299842
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,4.5,5.0,4.75,432000,61325,46597,0.0060837082555676115,115005,429995,7.0117407256420705,0.9437586628618019,2.1724154009008902
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,5.0,5.5,5.25,432000,61325,46597,0.0060837082555676115,228340,658335,10.735181410517733,0.9756706074194863,3.5314205870177773
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,5.5,6.0,5.75,432000,61325,46597,0.0060837082555676115,163037,821372,13.393754586220954,0.9889930697105584,2.1022826696335697
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,6.0,6.5,6.25,432000,61325,46597,0.0060837082555676115,91095,912467,14.879200978393804,0.9929066449245821,0.9942993122133291
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,6.5,7.0,6.75,432000,61325,46597,0.0060837082555676115,134681,1047148,17.07538524256013,0.9948634325315939,1.2604175671396625
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,7.0,7.5,7.25,432000,61325,46597,0.0060837082555676115,298736,1345884,21.946742763962494,0.9976681614349776,2.4235592627669282
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,7.5,8.0,7.75,432000,61325,46597,0.0060837082555676115,261641,1607525,26.21320831634733,0.999233591520587,1.8576589195250781
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,8.0,8.5,8.25,432000,61325,46597,0.0060837082555676115,227309,1834834,29.91983693436608,0.9996575621687729,1.424262423484393
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,8.5,9.0,8.75,432000,61325,46597,0.0060837082555676115,215761,2050595,33.43815735833673,0.9997717081125153,1.2018572190955368
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,9.0,9.5,9.25,432000,61325,46597,0.0060837082555676115,255558,2306153,37.605430085609456,0.9998858540562576,1.273838816553291
37,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,9.5,10.0,9.75,432000,61325,46597,0.0060837082555676115,434314,2740467,44.68759885854056,0.9999836934366082,1.948559295407547
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,0.0,0.5,0.25,432000,46117,59841,0.0078111688330818555,0,0,0.0,0.0,0.0
