composition,mode,r_mid_A,CN_sum_r__mean,CN_sum_r__std,CN_sum_r__count,CN_sum_r__sem,P_sum_r__mean,P_sum_r__std,P_sum_r__count,P_sum_r__sem,g_r_RDF_like__mean,g_r_RDF_like__std,g_r_RDF_like__count,g_r_RDF_like__sem
Ti40Nb,Omega_center__Twin_target,7.75,30.816351491394645,0.4081028374633388,6,0.16660728572785982,0.9954391725772679,0.0012941214476243062,6,0.0005283228686452427,2.0245057129404684,0.027282905710118863,6,0.011138199615042794
Ti40Nb,Omega_center__Twin_target,8.25,35.54764392985454,0.4997517986825603,6,0.2040228174683959,0.9962492934094955,0.0010899797461556312,6,0.0004449823680082719,1.808661047985287,0.005417036611911106,6,0.002211495936192866
Ti40Nb,Omega_center__Twin_target,8.75,38.3355115019845,0.5273448166841428,6,0.21528761989628054,0.9968349119500942,0.0008844435877490529,6,0.0003610725827102765,0.9476577519180059,0.022708001915168297,6,0.009270502961717586
Ti40Nb,Omega_center__Twin_target,9.25,42.068853265579115,0.6105975391240155,6,0.24927540150882105,0.9972387330054927,0.0008104635597498617,6,0.000330870362751138,1.1353446712245623,0.013841961903116855,6,0.0056509572836133766
Ti40Nb,Omega_center__Twin_target,9.75,50.66446301426163,0.8353265207409016,6,0.3410206240715997,0.9976605884700791,0.0008337124500229623,6,0.0003403616824603132,2.3525380722357254,0.02055280570308826,6,0.008390647792521718
Ti40Nb,Twin_center__Omega_target,0.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti40Nb,Twin_center__Omega_target,0.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti40Nb,Twin_center__Omega_target,1.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti40Nb,Twin_center__Omega_target,1.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti40Nb,Twin_center__Omega_target,2.25,0.0014487441871776667,0.0002731915566010376,6,0.00011152998595153528,3.5183269651615268e-06,8.618105812920627e-06,6,3.5183269651615268e-06,0.031595876528129015,0.005627696385438298,6,0.0022974974286048464
