frame,strain,mode,r_mid_A,CN_sum_r,P_sum_r,g_r_RDF_like,composition
39,,Twin_center__Omega_target,6.25,14.940071017017283,0.9944057349591318,1.022821691099537,Ti20Nb
39,,Twin_center__Omega_target,6.75,17.175599624815757,0.9958796730537316,1.2945362315637372,Ti20Nb
39,,Twin_center__Omega_target,7.25,21.96792509714592,0.9980403323060432,2.405682178237821,Ti20Nb
39,,Twin_center__Omega_target,7.75,26.26286345973469,0.9989112957255796,1.8868743264447212,Ti20Nb
39,,Twin_center__Omega_target,8.25,29.93502947876189,0.999413774621466,1.4237100653422996,Ti20Nb
39,,Twin_center__Omega_target,8.75,33.47650073696905,0.9996482647728796,1.220645388139327,Ti20Nb
39,,Twin_center__Omega_target,9.25,37.731023047032025,0.999782259145116,1.312204933542144,Ti20Nb
39,,Twin_center__Omega_target,9.75,44.72802492295324,0.999933002813882,1.9424401683791457,Ti20Nb
40,,Omega_center__Twin_target,0.25,0.0,0.0,0.0,Ti20Nb
40,,Omega_center__Twin_target,0.75,0.0,0.0,0.0,Ti20Nb
40,,Omega_center__Twin_target,1.25,0.0,0.0,0.0,Ti20Nb
40,,Omega_center__Twin_target,1.75,0.0,0.0,0.0,Ti20Nb
40,,Omega_center__Twin_target,2.25,0.0109699518709621,0.0,0.0450488241165795,Ti20Nb
40,,Omega_center__Twin_target,2.75,3.0832935871309024,0.4847808177600485,8.457346842554713,Ti20Nb
40,,Omega_center__Twin_target,3.25,4.710206824784287,0.7961236612756363,3.208996504917514,Ti20Nb
40,,Omega_center__Twin_target,3.75,5.620084117417509,0.8045354030264926,1.3486668856593351,Ti20Nb
40,,Omega_center__Twin_target,4.25,6.615943285782422,0.8210553700732776,1.1496000244394458,Ti20Nb
40,,Omega_center__Twin_target,4.75,8.984672419026145,0.8491306421540996,2.189549070939329,Ti20Nb
40,,Omega_center__Twin_target,5.25,13.757945627195074,0.8829727268785501,3.612408630614672,Ti20Nb
40,,Omega_center__Twin_target,5.75,17.15357932619347,0.905324545809305,2.142589145216385,Ti20Nb
40,,Omega_center__Twin_target,6.25,19.087694575727355,0.9154273078090448,1.0330422372917618,Ti20Nb
40,,Omega_center__Twin_target,6.75,21.94707973810866,0.9216493951350648,1.3094650307224411,Ti20Nb
40,,Omega_center__Twin_target,7.25,28.07407969474917,0.9365000216797468,2.432355728443665,Ti20Nb
40,,Omega_center__Twin_target,7.75,33.58903872002775,0.9460174305164116,1.9160886464783744,Ti20Nb
40,,Omega_center__Twin_target,8.25,38.245241295581664,0.9515024064518928,1.4276389307335902,Ti20Nb
40,,Omega_center__Twin_target,8.75,42.78511034991112,0.9560117937822488,1.2374748670800106,Ti20Nb
40,,Omega_center__Twin_target,9.25,48.23236352599402,0.9608246975675324,1.328665594943326,Ti20Nb
40,,Omega_center__Twin_target,9.75,57.1499804882279,0.9676754975501888,1.957815407345539,Ti20Nb
40,,Twin_center__Omega_target,0.25,0.0,0.0,0.0,Ti20Nb
40,,Twin_center__Omega_target,0.75,0.0,0.0,0.0,Ti20Nb
40,,Twin_center__Omega_target,1.25,0.0,0.0,0.0,Ti20Nb
40,,Twin_center__Omega_target,1.75,0.0,0.0,0.0,Ti20Nb
40,,Twin_center__Omega_target,2.25,0.008660083177874,0.0,0.0450488241165795,Ti20Nb
40,,Twin_center__Omega_target,2.75,2.434065275804823,0.4299063821047767,8.457346842554713,Ti20Nb
40,,Twin_center__Omega_target,3.25,3.7184103784079823,0.8905851546321176,3.208996504917514,Ti20Nb
40,,Twin_center__Omega_target,3.75,4.436700953293741,0.9090177822656558,1.3486668856593351,Ti20Nb
40,,Twin_center__Omega_target,4.25,5.222868780913587,0.9241643704324908,1.1496000244394458,Ti20Nb
40,,Twin_center__Omega_target,4.75,7.092830614934365,0.9533279706994814,2.189549070939329,Ti20Nb
40,,Twin_center__Omega_target,5.25,10.861027914220678,0.9819952420886888,3.612408630614672,Ti20Nb
40,,Twin_center__Omega_target,5.75,13.541665953550464,0.9920073935888,2.142589145216385,Ti20Nb
40,,Twin_center__Omega_target,6.25,15.068527614711872,0.9944548083999384,1.0330422372917618,Ti20Nb
40,,Twin_center__Omega_target,6.75,17.32583135087029,0.9961320577110682,1.3094650307224411,Ti20Nb
40,,Twin_center__Omega_target,7.25,22.162710297968477,0.9985281281555392,2.432355728443665,Ti20Nb
40,,Twin_center__Omega_target,7.75,26.51642163993907,0.9993838675999932,1.9160886464783744,Ti20Nb
40,,Twin_center__Omega_target,8.25,30.19219907922436,0.999743278166664,1.4276389307335902,Ti20Nb
40,,Twin_center__Omega_target,8.75,33.776138561330846,0.9998801964777764,1.2374748670800106,Ti20Nb
40,,Twin_center__Omega_target,9.25,38.07640041760085,0.9999486556333328,1.328665594943326,Ti20Nb
40,,Twin_center__Omega_target,9.75,45.116294990501295,1.0,1.957815407345539,Ti20Nb
35,,Omega_center__Twin_target,0.25,0.0,0.0,0.0,Ti30Nb
35,,Omega_center__Twin_target,0.75,0.0,0.0,0.0,Ti30Nb
35,,Omega_center__Twin_target,1.25,0.0,0.0,0.0,Ti30Nb
35,,Omega_center__Twin_target,1.75,0.0,0.0,0.0,Ti30Nb
35,,Omega_center__Twin_target,2.25,0.0059746835443037,0.0,0.0323436788827885,Ti30Nb
35,,Omega_center__Twin_target,2.75,2.8890632911392404,0.4324050632911392,10.462149988373683,Ti30Nb
35,,Omega_center__Twin_target,3.25,4.56379746835443,0.8372151898734177,4.354582335937138,Ti30Nb
35,,Omega_center__Twin_target,3.75,5.120151898734178,0.8436455696202532,1.0870992356538418,Ti30Nb
35,,Omega_center__Twin_target,4.25,5.922582278481013,0.8551898734177216,1.2211020854096857,Ti30Nb
35,,Omega_center__Twin_target,4.75,8.116,0.8770632911392405,2.6727380799720555,Ti30Nb
35,,Omega_center__Twin_target,5.25,12.188455696202531,0.9063797468354432,4.062868058003879,Ti30Nb
35,,Omega_center__Twin_target,5.75,15.013417721518987,0.924253164556962,2.3497759345590383,Ti30Nb
35,,Omega_center__Twin_target,6.25,16.445113924050634,0.93073417721519,1.0080506976522978,Ti30Nb
35,,Omega_center__Twin_target,6.75,18.46050632911392,0.9357974683544305,1.2166807462783351,Ti30Nb
35,,Omega_center__Twin_target,7.25,23.77392405063291,0.9460759493670886,2.780666756823305,Ti30Nb
35,,Omega_center__Twin_target,7.75,28.184708860759493,0.952506329113924,2.020156195602833,Ti30Nb
35,,Omega_center__Twin_target,8.25,32.19848101265823,0.9566582278481012,1.6223143254173105,Ti30Nb
35,,Omega_center__Twin_target,8.75,35.33777215189873,0.96,1.1280294212493145,Ti30Nb
35,,Omega_center__Twin_target,9.25,39.47974683544304,0.9629367088607594,1.3318071456025091,Ti30Nb
35,,Omega_center__Twin_target,9.75,46.8713417721519,0.9671392405063292,2.139226939642042,Ti30Nb
35,,Twin_center__Omega_target,0.25,0.0,0.0,0.0,Ti30Nb
35,,Twin_center__Omega_target,0.75,0.0,0.0,0.0,Ti30Nb
35,,Twin_center__Omega_target,1.25,0.0,0.0,0.0,Ti30Nb
35,,Twin_center__Omega_target,1.75,0.0,0.0,0.0,Ti30Nb
35,,Twin_center__Omega_target,2.25,0.0026607738793181,0.0,0.0323436788827885,Ti30Nb
35,,Twin_center__Omega_target,2.75,1.2866194642373951,0.2279922431676738,10.462149988373683,Ti30Nb
35,,Twin_center__Omega_target,3.25,2.0324479119689727,0.7704518805808604,4.354582335937138,Ti30Nb
35,,Twin_center__Omega_target,3.75,2.2802155677820872,0.7982096148642555,1.0870992356538418,Ti30Nb
35,,Twin_center__Omega_target,4.25,2.6375710291332197,0.8178271849914314,1.2211020854096857,Ti30Nb
35,,Twin_center__Omega_target,4.75,3.614390727879498,0.8726661856228015,2.6727380799720555,Ti30Nb
35,,Twin_center__Omega_target,5.25,5.428023811671327,0.9359610354469198,4.062868058003879,Ti30Nb
35,,Twin_center__Omega_target,5.75,6.686096329034004,0.9668079733020656,2.3497759345590383,Ti30Nb
35,,Twin_center__Omega_target,6.25,7.323689907098403,0.9760530350861368,1.0080506976522978,Ti30Nb
35,,Twin_center__Omega_target,6.75,8.221227563813475,0.9810814467394244,1.2166807462783351,Ti30Nb
35,,Twin_center__Omega_target,7.25,10.58751240191215,0.99080003607829,2.780666756823305,Ti30Nb
35,,Twin_center__Omega_target,7.75,12.551817443853162,0.9953323712456028,2.020156195602833,Ti30Nb
35,,Twin_center__Omega_target,8.25,14.339316316406602,0.9977000090195725,1.6223143254173105,Ti30Nb
35,,Twin_center__Omega_target,8.75,15.73737259853883,0.998399025886173,1.1280294212493145,Ti30Nb
